class_name,precision,recall,f1_score,support,class_accuracy
cardboard,0.96,0.7868852459016393,0.8648648648648649,61,0.7868852459016393
glass,0.9565217391304348,0.88,0.9166666666666666,75,0.88
metal,0.8133333333333334,0.9838709677419355,0.8905109489051095,62,0.9838709677419355
paper,0.8736842105263158,0.9222222222222223,0.8972972972972973,90,0.9222222222222223
plastic,0.9230769230769231,0.8333333333333334,0.8759124087591241,72,0.8333333333333334
trash,0.5925925925925926,0.7619047619047619,0.6666666666666666,21,0.7619047619047619
