model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc_ovr_macro,average_inference_ms
baseline_cnn,0.5591,0.598,0.5783,0.5421,0.568,0.8774,42.2821
resnet50_classifier,0.8766404199475065,0.8532014664432666,0.8613694218506486,0.8519864755266217,0.8780600676542973,0.9879458689727988,163.09484671924312
