class_name,precision,recall,f1_score,support,class_accuracy
cardboard,0.8775510204081632,0.7049180327868853,0.7818181818181819,61,0.7049180327868853
glass,0.44,0.29333333333333333,0.352,75,0.29333333333333333
metal,0.8518518518518519,0.3709677419354839,0.5168539325842697,62,0.3709677419354839
paper,0.63,0.7,0.6631578947368421,90,0.7
plastic,0.575,0.6388888888888888,0.6052631578947368,72,0.6388888888888888
trash,0.21333333333333335,0.7619047619047619,0.3333333333333333,21,0.7619047619047619
