,cardboard,glass,metal,paper,plastic,trash
cardboard,56,0,0,5,0,0
glass,0,66,4,0,5,0
metal,0,0,62,0,0,0
paper,7,0,2,79,1,1
plastic,0,1,5,0,64,2
trash,1,0,0,2,1,17
