,precision,recall,f1-score,support
cardboard,0.8,0.8524590163934426,0.8253968253968254,61.0
glass,0.9354838709677419,0.7733333333333333,0.8467153284671532,75.0
metal,0.8142857142857143,0.9193548387096774,0.8636363636363636,62.0
paper,0.8658536585365854,0.7888888888888889,0.8255813953488372,90.0
plastic,0.8243243243243243,0.8472222222222222,0.8356164383561644,72.0
trash,0.6071428571428571,0.8095238095238095,0.6938775510204082,21.0
accuracy,0.8293963254593176,0.8293963254593176,0.8293963254593176,0.8293963254593176
macro avg,0.807848404209537,0.8317970181785622,0.8151373170376255,381.0
weighted avg,0.8385175465300236,0.8293963254593176,0.8305418589085698,381.0
