class_name,test_samples,correct_predictions,per_class_accuracy,precision,recall,f1_score
cardboard,61,56,0.9180327868852459,0.9032258064516129,0.9180327868852459,0.9105691056910569
glass,75,61,0.8133333333333334,0.9384615384615385,0.8133333333333334,0.8714285714285714
metal,62,59,0.9516129032258065,0.9365079365079365,0.9516129032258065,0.944
paper,90,81,0.9,0.8617021276595744,0.9,0.8804347826086957
plastic,72,64,0.8888888888888888,0.810126582278481,0.8888888888888888,0.847682119205298
trash,21,15,0.7142857142857143,0.8333333333333334,0.7142857142857143,0.7692307692307693
