class_index,class_name,test_samples,correct_predictions,per_class_accuracy,precision,recall,f1_score
0,cardboard,61,49,0.8032786885245902,0.9607843137254902,0.8032786885245902,0.875
1,glass,75,62,0.8266666666666667,0.9253731343283582,0.8266666666666667,0.8732394366197183
2,metal,62,58,0.9354838709677419,0.8529411764705882,0.9354838709677419,0.8923076923076924
3,paper,90,81,0.9,0.8617021276595744,0.9,0.8804347826086957
4,plastic,72,59,0.8194444444444444,0.8082191780821918,0.8194444444444444,0.8137931034482758
5,trash,21,16,0.7619047619047619,0.5714285714285714,0.7619047619047619,0.6530612244897959
