,cardboard,glass,metal,paper,plastic,trash
cardboard,56,0,0,5,0,0
glass,0,61,1,1,11,1
metal,0,2,59,0,1,0
paper,6,0,1,81,2,0
plastic,0,2,1,3,64,2
trash,0,0,1,4,1,15
