class_name,test_samples,correct_predictions,per_class_accuracy,precision,recall,f1_score
cardboard,61,52,0.8524590163934426,0.8,0.8524590163934426,0.8253968253968254
glass,75,58,0.7733333333333333,0.9354838709677419,0.7733333333333333,0.8467153284671532
metal,62,57,0.9193548387096774,0.8142857142857143,0.9193548387096774,0.8636363636363636
paper,90,71,0.7888888888888889,0.8658536585365854,0.7888888888888889,0.8255813953488372
plastic,72,61,0.8472222222222222,0.8243243243243243,0.8472222222222222,0.8356164383561644
trash,21,17,0.8095238095238095,0.6071428571428571,0.8095238095238095,0.6938775510204082
