,cardboard,glass,metal,paper,plastic,trash
cardboard,55,0,0,5,1,0
glass,0,66,0,2,7,0
metal,0,1,58,0,3,0
paper,6,0,1,79,2,2
plastic,0,1,1,2,66,2
trash,0,0,1,3,1,16
