,precision,recall,f1-score,support
cardboard,0.9607843137254902,0.8032786885245902,0.875,61.0
glass,0.9253731343283582,0.8266666666666667,0.8732394366197183,75.0
metal,0.8529411764705882,0.9354838709677419,0.8923076923076924,62.0
paper,0.8617021276595744,0.9,0.8804347826086957,90.0
plastic,0.8082191780821918,0.8194444444444444,0.8137931034482758,72.0
trash,0.5714285714285714,0.7619047619047619,0.6530612244897959,21.0
accuracy,0.8530183727034121,0.8530183727034121,0.8530183727034121,0.8530183727034121
macro avg,0.8300747502824625,0.8411297387513675,0.831306039912363,381.0
weighted avg,0.8625673319273957,0.8530183727034121,0.8549542106742782,381.0
