architecture,checkpoint_epoch,test_loss,test_accuracy,weighted_precision,weighted_recall,weighted_f1_score,macro_precision,macro_recall,macro_f1_score,macro_roc_auc,weighted_roc_auc,test_sample_count,evaluation_duration_seconds
mobilenet_v3_large,4,0.32314102316465904,0.8923884514435696,0.8952147124699688,0.8923884514435696,0.8928672166659616,0.886029853303238,0.8789120702632073,0.8816071220897891,0.9904179149203624,0.9897049590875523,381,12.29115040000761
resnet50,3,0.30838363979432215,0.9028871391076115,0.9064014653985727,0.9028871391076115,0.9028349058967232,0.896567132870973,0.895703877179287,0.8943660739703909,0.9910226220501372,0.9904434051056037,381,56.52854369999841
