model_name,test_accuracy,weighted_precision,weighted_recall,weighted_f1_score,macro_precision,macro_recall,macro_f1_score,macro_roc_auc,model_size_mb,total_parameters,mean_inference_latency_ms,predictions_per_second
Baseline CNN,0.5590551181102362,0.6349748741724744,0.5590551181102362,0.5679764063146212,0.5979560342655581,0.5783354598082255,0.5420710833945607,0.8774318462035252,1.098039627075195,,37.945976455087056,26.353255164842107
ResNet50,0.8766404199475065,0.8878303384640436,0.8766404199475065,0.8780600676542973,0.8532014664432666,0.8613694218506486,0.8519864755266217,0.9879458689727988,90.12408351898192,23520326.0,163.09484671924312,6.131401574701089
EfficientNet-B0,0.8530183727034121,0.8625673319273957,0.8530183727034121,0.8549542106742782,0.8300747502824625,0.8411297387513675,0.831306039912363,0.9820261562325208,24.23047542572021,4015234.0,39.156232000968885,25.538718842386466
DenseNet121,0.8293963254593176,0.8385175465300236,0.8293963254593176,0.8305418589085698,,,0.8151373170376255,0.9819813202420156,43.45800590515137,6960006.0,159.79032699979143,6.258201098751774
MobileNetV3-Large,0.8818897637795275,0.8843233256038533,0.8818897637795275,0.8815116731645867,0.8805595541154126,0.8643589377698314,0.8705575580273986,0.987222331666958,16.257906913757324,4209718.0,26.876482998777647,37.20724917934688
